City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,ingeniero jacobacci,-41.3427,-69.5448,288.42,25,0,5.61,AR,1728840452
298,lardero,42.4269,-2.4615,290.55,88,0,1.54,ES,1728840453
299,vorkuta,67.5,64.0,271.88,93,79,5.39,RU,1728840454
300,dubbo,-32.25,148.6167,288.22,72,75,3.6,AU,1728840456
301,seminole,28.7086,-81.2081,303.29,64,20,3.09,US,1728840268
302,whakatane,-37.9585,176.9854,286.21,99,100,2.06,NZ,1728840458
303,belaya kholunitsa,58.84,50.8528,272.04,74,58,2.31,RU,1728840459
304,port shepstone,-30.7414,30.455,295.1,83,82,5.76,ZA,1728840460
305,brokopondo,4.75,-55.1667,305.6,44,85,2.23,SR,1728840461
306,batticaloa,7.7102,81.6924,298.33,87,100,2.39,LK,1728840462
307,ingraj bazar,25.0,88.15,297.45,69,1,1.6,IN,1728840463
308,ketchikan,55.3422,-131.6461,283.41,87,100,2.06,US,1728840464
309,grand falls-windsor,48.9332,-55.6649,283.99,68,95,0.89,CA,1728840465
310,pacific grove,36.6177,-121.9166,293.51,92,92,3.58,US,1728840466
311,pimentel,-6.8367,-79.9342,295.31,64,0,4.12,PE,1728840468
312,la passe,45.5549,-0.8967,293.71,74,26,3.34,FR,1728840469
313,villa huidobro,-34.8383,-64.5869,289.81,91,100,5.29,AR,1728840470
314,chupaca,-12.0667,-75.2833,287.82,55,94,3.16,PE,1728840471
315,rio grande,-32.035,-52.0986,293.02,70,69,8.18,BR,1728840472
316,santa marta de ortigueira,43.6833,-7.85,292.73,92,61,2.89,ES,1728840473
317,williams lake,52.1415,-122.1445,286.91,69,75,4.63,CA,1728840395
318,morshansk,53.4435,41.8107,278.92,42,11,5.98,RU,1728840475
319,walvis bay,-22.9575,14.5053,291.68,68,21,5.66,NA,1728840476
320,tidjikja,18.5564,-11.4271,310.38,17,54,8.36,MR,1728840477
321,el charco,2.4769,-78.1105,300.79,84,89,3.58,CO,1728840480
322,nova sintra,14.8667,-24.7167,300.82,73,81,2.34,CV,1728840482
323,miranda,3.2499,-76.2281,302.25,50,64,2.01,CO,1728840483
324,magadan,59.5667,150.8,274.48,92,100,2.12,RU,1728840484
325,troitsko-pechorsk,62.7084,56.1964,273.71,77,100,1.73,RU,1728840485
326,mbala,-8.8402,31.3659,294.76,38,27,1.43,ZM,1728840486
327,namibe,-15.1961,12.1522,294.12,83,32,4.28,AO,1728840487
328,semnan,35.5729,53.3971,296.32,25,70,2.04,IR,1728840488
329,zyryanskoye,56.8306,86.6258,269.4,59,85,1.61,RU,1728840489
330,barah,13.7,30.3667,308.56,26,43,3.72,SD,1728840491
331,sinan,34.8262,126.1086,292.76,78,98,6.99,KR,1728840492
332,saipan,15.1355,145.701,300.54,83,40,2.06,MP,1728840493
333,port lincoln,-34.7333,135.8667,287.93,89,9,4.77,AU,1728840494
334,san antonio oeste,-40.7319,-64.9477,294.54,30,0,1.96,AR,1728840483
335,sandnessjoen,66.0217,12.6316,283.21,57,75,4.12,NO,1728840496
336,cambria,35.5641,-121.0808,293.96,64,2,1.28,US,1728840498
337,illapel,-31.6308,-71.1653,296.6,38,100,3.96,CL,1728840371
338,egilsstadir,65.2653,-14.3948,272.1,59,75,4.63,IS,1728840500
339,zelenogorsk,56.1147,94.5861,269.57,54,97,0.9,RU,1728840503
340,dalandzadgad,43.5708,104.425,281.46,62,6,8.15,MN,1728840504
341,hawaiian paradise park,19.5933,-154.9731,295.3,90,100,2.06,US,1728840505
342,schoppenstedt,52.1431,10.7745,283.01,81,95,1.79,DE,1728840506
343,mossendjo,-2.9506,12.7261,295.09,96,97,2.16,CG,1728840507
344,ar ruways,24.1103,52.7306,302.89,56,0,3.72,AE,1728840508
345,ulladulla,-35.35,150.4667,285.45,73,99,2.92,AU,1728840509
346,crane,31.3974,-102.3501,303.01,15,0,3.1,US,1728840510
347,annaberg-buchholz,50.5795,13.0063,280.55,83,99,4.02,DE,1728840511
348,ljusdal,61.8288,16.0913,278.78,97,100,1.05,SE,1728840512
349,booue,-0.0921,11.9385,296.12,93,100,1.71,GA,1728840513
350,mombetsu,44.3525,143.3525,280.33,70,0,3.47,JP,1728840515
351,xining,36.6167,101.7667,283.82,43,0,0.88,CN,1728840516
352,augusto correa,-1.0217,-46.635,305.77,47,13,4.7,BR,1728840517
353,zaozersk,69.4005,32.4476,277.04,70,99,7.06,RU,1728840518
354,alampur,15.8833,78.15,298.16,86,93,3.22,IN,1728840519
355,laixi,36.8592,120.5269,290.6,86,100,3.86,CN,1728840520
356,atherton,53.5237,-2.4935,282.2,76,100,0.45,GB,1728840521
357,san antonio de pale,-1.4014,5.6325,298.92,81,74,4.8,GQ,1728840522
358,banjar,-8.19,114.9675,297.44,83,55,2.72,ID,1728840523
359,mirto,38.0847,14.7515,288.6,58,5,0.99,IT,1728840524
360,sosnogorsk,63.6023,53.8817,274.1,86,100,1.79,RU,1728840526
